Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
Intel HD Graphics 6000;GPU;2014-09-05;140;150;1330;;3000;Intel;Intel;;729.6;182.4
NVIDIA GeForce RTX 2080 SUPER;GPU;2019-07-23;120;2500;5450;136000;16500;TSMC;NVIDIA;22300.0;11150.0;348.5
ATI Mobility Radeon X1600 Mac Edition;GPU;2007-11-08;900;;1500;1570;3980;TSMC;ATI;;;
AMD Radeon HD 6630M;GPU;2011-01-04;400;260;1040;7160;5000;TSMC;AMD;;480.0;
AMD Radeon R5 330 OEM;GPU;2015-05-05;280;500;560;6900;8300;TSMC;AMD;;547.2;
NVIDIA GeForce 8400 GS;GPU;2007-04-17;800;400;1270;2100;4590;TSMC;NVIDIA;;29.38;
AMD Radeon HD 7730M;GPU;2012-04-24;280;250;1230;15000;5750;TSMC;AMD;;691.2;43.2
AMD Radeon HD 7670A;GPU;2012-01-05;400;450;1180;7160;6000;TSMC;AMD;;576.0;
AMD Radeon HD 7310 IGP;GPU;2012-06-06;400;180;750;4500;5000;TSMC;AMD;;80.0;
ATI Radeon X1950 PRO DUAL;GPU;2007-01-10;800;1300;2300;3300;5750;TSMC;ATI;;;
ATI FireGL 8800;GPU;2001-08-14;1500;;1200;600;3000;TSMC;ATI;;;
AMD FirePro S9100;GPU;2014-10-02;280;2250;4380;62000;8240;TSMC;AMD;;4219.0;2109.0
AMD Radeon HD 6650M;GPU;2011-01-04;400;;1040;7160;6000;TSMC;AMD;;576.0;
AMD Radeon HD 7570M;GPU;2012-01-07;400;130;1040;7160;5000;TSMC;AMD;;480.0;
AMD FirePro W4300;GPU;2015-12-01;280;500;1600;20800;9300;TSMC;AMD;;1428.0;89.28
AMD Radeon Vega 10 Mobile;GPU;2019-01-08;140;100;2100;49400;3000;GF;AMD;3331.0;1665.0;104.1
NVIDIA GeForce 820A;GPU;2014-03-17;280;150;1160;5850;7750;TSMC;NVIDIA;;297.6;24.8
ATI Radeon X740 XL;GPU;2005-03-07;1100;;1560;1200;4250;TSMC;ATI;;;
NVIDIA GeForce RTX 2060 Max-Q;GPU;2020-01-29;120;650;4450;108000;9750;TSMC;NVIDIA;9101.0;4550.0;142.2
ATI Mobility Radeon X700 XL;GPU;2005-03-01;1100;;1560;1200;3500;TSMC;ATI;;;
ATI Radeon X1800 CrossFire Edition;GPU;2005-12-20;900;1130;2880;3210;6000;TSMC;ATI;;;
AMD Radeon R7 M380;GPU;2015-05-05;280;;1230;15000;9000;TSMC;AMD;;1171.0;73.2
NVIDIA GeForce MX110;GPU;2017-11-17;280;300;;;9780;TSMC;NVIDIA;;772.6;24.14
NVIDIA NVS 510;GPU;2012-10-23;280;350;1180;12700;7970;TSMC;NVIDIA;;306.0;12.75
AMD Radeon HD 7570;GPU;2012-01-05;400;600;1180;7160;6500;TSMC;AMD;;624.0;
NVIDIA GeForce 9800M GT;GPU;2008-07-29;650;650;3240;7540;5000;TSMC;NVIDIA;;240.0;
NVIDIA GeForce 7000M + nForce 610M;GPU;2006-02-01;900;;810;1120;3500;Unknown;NVIDIA;;;
NVIDIA Quadro FX 4600;GPU;2007-03-05;900;1340;4840;6810;5000;TSMC;NVIDIA;;230.4;
NVIDIA GeForce 7050 PV + nForce 630a;GPU;2006-02-01;900;;810;1120;4250;Unknown;NVIDIA;;;
AMD Radeon HD 7770 GHz Edition;GPU;2012-02-15;280;800;1230;15000;10000;TSMC;AMD;;1280.0;80.0
ATI Mobility Radeon 9000 IGP;GPU;2003-05-01;1500;;920;760;3000;Unknown;ATI;;;
NVIDIA GeForce 8800M GTX;GPU;2007-11-01;650;650;3240;7540;5000;TSMC;NVIDIA;;240.0;
ATI Radeon HD 5570;GPU;2010-02-09;400;390;1040;6270;6250;TSMC;ATI;;500.0;
NVIDIA GeForce GT 640M LE;GPU;2012-03-22;280;200;1180;12700;5000;TSMC;NVIDIA;;384.0;16.0
ATI Radeon 9100 PCI;GPU;2003-04-01;1500;;1200;600;2500;TSMC;ATI;;;
ATI Mobility Radeon HD 2300;GPU;2007-03-01;800;;1000;1070;4800;TSMC;ATI;;;
ATI Mobility Radeon HD 5430;GPU;2010-01-07;400;70;590;2920;5000;TSMC;ATI;;80.0;
AMD Radeon E6465;GPU;2015-09-29;400;250;670;3700;6000;TSMC;AMD;;192.0;
ATI Radeon Xpress 1270 Mobile IGP;GPU;2007-02-28;800;;730;1200;4000;Unknown;ATI;;;
ATI Radeon HD 3870 AGP;GPU;NaT;550;1060;1920;6660;7770;TSMC;ATI;;497.3;99.46
Sony Playstation Portable GPU 90nm;GPU;2004-12-12;900;40;;;1330;Sony;Other;;;
AMD Radeon R4 Mobile Graphics;GPU;2016-06-01;280;150;1250;12000;2000;GF;AMD;251.5;251.5;15.72
AMD Radeon R5 Graphics;GPU;2014-09-17;280;150;2450;24100;4970;GF;AMD;;254.5;15.9
NVIDIA Quadro M4000;GPU;2015-06-29;280;1200;3980;52000;7730;TSMC;NVIDIA;;2573.0;80.39
NVIDIA GeForce GTX 1050 Ti;GPU;2016-10-25;140;750;1320;33000;12910;Samsung;NVIDIA;33.41;2138.0;66.82
NVIDIA GeForce MX350;GPU;2020-02-10;140;200;1320;33000;7470;Samsung;NVIDIA;18.74;1199.0;37.48
NVIDIA Quadro4 700 Go GL;GPU;2003-06-05;1500;;1010;360;1990;TSMC;NVIDIA;;;
ATI FireGL V7600;GPU;2007-11-06;800;1270;4200;7200;6000;TSMC;ATI;;384.0;
Intel Xeon Phi 7120X;GPU;2013-06-17;220;3000;3500;50000;12380;Intel;Intel;;650.5;
NVIDIA Quadro NVS 160M;GPU;2008-08-15;650;120;860;2100;5800;TSMC;NVIDIA;;23.2;
NVIDIA GeForce GTS 150M;GPU;2009-03-03;650;450;2400;5050;4000;TSMC;NVIDIA;;128.0;
XGI Volari V8;GPU;2003-09-15;1300;;;1100;3000;UMC;Other;;;
NVIDIA Quadro M5000;GPU;2015-06-29;280;1500;3980;52000;8610;TSMC;NVIDIA;;4252.0;132.9
ATI Radeon HD 3750;GPU;2008-09-11;550;650;1350;3780;7960;TSMC;ATI;;191.0;
AMD Radeon R5 A230;GPU;2014-01-07;280;;560;6900;7800;TSMC;AMD;;547.2;34.2
NVIDIA GeForce 9200;GPU;2007-04-17;650;400;1440;3140;4500;Unknown;NVIDIA;;35.2;
AMD Radeon HD 7450M;GPU;2012-01-07;400;70;670;3700;7000;TSMC;AMD;;224.0;
NVIDIA Quadro FX 3800M;GPU;2008-08-14;650;1000;3240;7540;6750;TSMC;NVIDIA;;422.4;
NVIDIA Jetson AGX Xavier GPU;GPU;NaT;120;300;3500;90000;8540;TSMC;NVIDIA;2820.0;1410.0;705.0
Intel GMA X3100;GPU;2007-05-09;900;130;;;5000;Intel;Intel;;;
Intel UHD Graphics P630;GPU;2020-05-13;140;150;;;3500;Intel;Intel;921.6;460.8;115.2
AMD Radeon R3 Mobile Graphics;GPU;2015-01-28;280;150;1070;9300;6000;GF;AMD;;153.6;9.6
NVIDIA Quadro4 550 XGL;GPU;2002-02-19;1500;;650;290;2700;TSMC;NVIDIA;;;
NVIDIA GeForce 605 OEM;GPU;2012-04-02;400;250;790;2920;5230;TSMC;NVIDIA;;100.4;8.368
ATI Mobility Radeon HD 2600;GPU;2007-05-14;650;;1530;3900;5000;TSMC;ATI;;120.0;
AMD Radeon HD 7600G IGP;GPU;2012-09-01;320;190;2460;13030;3200;TSMC;AMD;;325.6;
AMD Radeon HD 6970M;GPU;2011-01-04;400;750;2120;17000;6800;TSMC;AMD;;1306.0;
ATI Radeon HD 5450 PCIe x1;GPU;2010-02-04;400;190;590;2920;6500;TSMC;ATI;;104.0;
ATI GameCube GPU;GPU;2000-08-24;1800;450;1200;510;1620;NEC;ATI;;;
NVIDIA GeForce GT 710 PCIe x1;GPU;2014-03-27;280;190;870;10200;9540;TSMC;NVIDIA;;366.3;15.26
NVIDIA GeForce GTX 860M;GPU;2014-03-10;280;750;2940;35400;7970;TSMC;NVIDIA;;2108.0;87.84
NVIDIA Quadro2 Pro;GPU;2001-03-22;1500;;880;250;2000;TSMC;NVIDIA;;;
NVIDIA GeForce4 448 Go;GPU;2002-03-01;1500;;650;290;2000;TSMC;NVIDIA;;;
NVIDIA GeForce GTX 1650 GDDR6;GPU;2020-04-01;120;750;2000;47000;14100;TSMC;NVIDIA;5699.0;2849.0;89.04
NVIDIA GeForce 9650M GT;GPU;2008-08-19;550;230;1210;3140;5500;TSMC;NVIDIA;;84.8;
AMD Radeon HD 6320 IGP;GPU;2011-08-15;400;180;750;4500;5080;TSMC;AMD;;81.28;
NVIDIA GeForce 315 OEM;GPU;2010-03-31;400;330;1000;4860;4750;TSMC;NVIDIA;;105.6;
ATI Radeon HD 3850 X3;GPU;NaT;550;1450;1920;6660;6690;TSMC;ATI;;428.2;
NVIDIA GeForce 805A;GPU;2014-07-22;280;150;870;10200;7190;TSMC;NVIDIA;;291.1;12.13
AMD Radeon RX 6600M;GPU;NaT;70;1500;2360;;14890;TSMC;AMD;15090.0;7544.0;471.5
NVIDIA GeForce 9800 GT;GPU;2008-07-21;650;1250;3240;7540;6000;TSMC;NVIDIA;;336.0;
XGI Volari 8600 XT;GPU;NaT;1100;;;;4500;UMC;Other;;;
Intel Iris Graphics 550;GPU;2015-09-01;140;150;;;3000;Intel;Intel;1536.0;768.0;192.0
NVIDIA GeForce GT 335M;GPU;2010-01-07;400;280;1440;7270;4500;TSMC;NVIDIA;;155.5;
ATI FireGL V3350;GPU;2005-10-01;900;;1000;1070;6000;TSMC;ATI;;;
AMD FirePro S10000 Passive 12GB;GPU;2014-03-01;280;3750;3520;43130;8250;TSMC;AMD;;3405.0;851.2
AMD Radeon HD 7620G IGP;GPU;2012-05-15;320;250;2460;13030;3600;TSMC;AMD;;381.7;
NVIDIA GeForce2 MX + nForce 220;GPU;2001-06-04;1800;;650;200;1750;Unknown;NVIDIA;;;
NVIDIA GeForce GTX 980 Ti;GPU;2015-06-02;280;2500;6010;80000;10000;TSMC;NVIDIA;;6060.0;189.4
AMD Radeon Pro Duo;GPU;2016-04-26;280;3500;5960;89000;10000;TSMC;AMD;8192.0;8192.0;512.0
AMD Radeon Pro 5500M;GPU;2019-11-13;70;850;1580;64000;10000;TSMC;AMD;8909.0;4454.0;278.4
NVIDIA GeForce 9400M;GPU;2008-10-15;650;120;1440;3140;4500;Unknown;NVIDIA;;35.2;
AMD Radeon R3E Mobile Graphics;GPU;2015-01-28;280;1000;1070;9300;3510;GF;AMD;;89.86;5.616
Intel Iris Plus Graphics 650;GPU;2017-01-03;140;150;;;3000;Intel;Intel;1766.0;883.2;220.8
ATI Radeon HD 4650 AGP;GPU;2008-09-10;550;480;1460;5140;6000;TSMC;ATI;;384.0;
NVIDIA GeForce 315M;GPU;2011-01-05;400;140;570;2600;6060;TSMC;NVIDIA;;38.78;
NVIDIA GeForce GTX 260 Rev. 2;GPU;2008-07-23;550;1820;4700;14000;5760;TSMC;NVIDIA;;476.9;59.62
NVIDIA GeForce RTX 3050;GPU;2021-01-01;80;900;;;15450;Samsung;NVIDIA;8018.000000000001;8018.000000000001;125.3
ATI Radeon 7500 Mac Edition;GPU;2002-04-16;1500;230;830;600;2600;TSMC;ATI;;;
NVIDIA GeForce GTX 965M;GPU;2015-01-09;280;;3980;52000;9350;TSMC;NVIDIA;;1915.0;59.84
Intel Iris Graphics 6100;GPU;2014-09-05;140;150;1330;;3000;Intel;Intel;;768.0;192.0
AMD Radeon RX 5300M;GPU;2019-11-13;70;850;1580;64000;10000;TSMC;AMD;8138.0;4069.0;254.3
NVIDIA GeForce G102M;GPU;2009-01-08;650;140;1440;3140;4500;Unknown;NVIDIA;;35.2;
AMD FirePro S9170;GPU;2015-07-08;280;2750;4380;62000;9300;TSMC;AMD;;5238.0;2619.0
NVIDIA GeForce GTX 980 Mobile;GPU;2015-09-21;280;;3980;52000;10640;TSMC;NVIDIA;;4358.0;136.2
NVIDIA GeForce GTX 1650 Ti Mobile;GPU;2020-04-23;120;500;2840;66000;13500;TSMC;NVIDIA;6083.0;3041.0;95.04
ATI Radeon 9550 XT;GPU;2005-05-04;1300;;760;600;4250;TSMC;ATI;;;
AMD Radeon HD 6625M;GPU;2011-01-04;400;260;1040;7160;4500;TSMC;AMD;;432.0;
NVIDIA GeForce GT 520 OEM;GPU;2012-08-20;400;290;790;2920;5890;TSMC;NVIDIA;;269.2;22.43
NVIDIA GeForce MX350;GPU;2020-02-10;140;200;1320;33000;13540;Samsung;NVIDIA;29.36;1879.0;58.72
AMD Radeon Vega 8 Embedded;GPU;2018-04-19;140;350;2100;49400;3000;GF;AMD;2255.0;1127.0;70.46
NVIDIA GeForce G210 OEM Rev. 2;GPU;2009-08-24;400;310;570;2600;5890;TSMC;NVIDIA;;44.86;
ATI Radeon 9800 PRO MAXX;GPU;NaT;1500;940;2150;1170;3800;TSMC;ATI;;;
ATI Radeon 9800 SE;GPU;2003-03-01;1500;;2150;1170;3780;TSMC;ATI;;;
NVIDIA Quadro FX 570M;GPU;2007-06-01;800;450;1690;2890;4750;TSMC;NVIDIA;;60.8;
NVIDIA GeForce GT 630 Rev. 2;GPU;2013-05-29;280;250;870;10200;9020;TSMC;NVIDIA;;692.7;28.86
ATI Radeon X800 GT;GPU;2005-11-01;1300;400;2970;1600;4750;TSMC;ATI;;;
AMD Radeon HD 7510 OEM;GPU;2013-02-01;400;390;1180;7160;6500;TSMC;AMD;;416.0;
AMD Radeon R7 370;GPU;2015-06-18;280;1100;2120;28000;9250;TSMC;AMD;;1997.0;124.8
ATI FireMV 2250 PCIe x1;GPU;2007-01-01;800;320;1000;1070;6000;UMC;ATI;;;
ATI Radeon HD 5450;GPU;2010-02-04;400;190;590;2920;6500;TSMC;ATI;;104.0;
NVIDIA GeForce MX330;GPU;2020-02-10;140;100;740;18000;15310;Samsung;NVIDIA;19.13;1224.0;38.26
AMD Radeon R3 Mobile Graphics;GPU;2016-06-01;280;150;1250;12000;2000;GF;AMD;167.7;167.7;10.48
AMD Radeon Vega 8 Embedded;GPU;2018-02-13;140;150;2100;49400;3000;GF;AMD;2253.0;1126.0;70.4
Intel HD Graphics;GPU;2010-01-10;450;350;1140;1770;5330;Intel;Intel;;102.3;
3dfx Voodoo5 5500 PCI;GPU;2000-06-22;2500;300;1120;140;1660;TSMC;Other;;;
NVIDIA GeForce 6600 GT Dual;GPU;2004-08-12;1100;;1540;1460;5000;TSMC;NVIDIA;;;
AMD Radeon R9 290X;GPU;2013-10-24;280;2900;4380;62000;10000;TSMC;AMD;;5632.0;704.0
AMD Radeon R9 270;GPU;2013-11-13;280;1500;2120;28000;9000;TSMC;AMD;;2368.0;148.0
AMD Radeon RX 5700 XT;GPU;2019-07-07;70;2250;2510;103000;16050;TSMC;AMD;19510.0;9754.0;609.6
NVIDIA NVS 3100M;GPU;2010-01-07;400;140;570;2600;6060;TSMC;NVIDIA;;46.98;
ATI Radeon DDR MAXX;GPU;2000-06-01;1800;;1150;300;1480;TSMC;ATI;;;
NVIDIA Quadro NVS 440;GPU;2006-02-14;1100;310;1540;1460;2500;TSMC;NVIDIA;;;
NVIDIA GRID K260Q;GPU;2013-06-28;280;2250;2940;35400;7450;TSMC;NVIDIA;;2289.0;95.36
NVIDIA GeForce 9300 + nForce 730i;GPU;2007-04-17;650;400;1440;3140;4500;Unknown;NVIDIA;;35.2;
NVIDIA GeForce GTX 1060 5 GB;GPU;2017-12-26;160;1200;2000;44000;15060;TSMC;NVIDIA;68.36;4375.0;136.7
AMD Radeon R7 M260DX;GPU;2014-01-07;280;;560;6900;9550;TSMC;AMD;;659.2;41.2
Intel Xeon Phi SE10X;GPU;2012-11-12;220;3000;3500;50000;11000;Intel;Intel;;536.8;
AMD Radeon HD 7480D IGP;GPU;2012-10-02;320;650;2460;13030;7200;TSMC;AMD;;184.3;
NVIDIA GeForce GTX 1060 6 GB GP104;GPU;2018-03-08;160;1200;3140;72000;15060;TSMC;NVIDIA;68.32;4372.0;136.6
AMD Radeon HD 6970;GPU;2010-12-14;400;2500;3890;26400;8800;TSMC;AMD;;2703.0;675.8
AMD Radeon R7 250XE;GPU;2014-08-21;280;800;1230;15000;8600;TSMC;AMD;;1101.0;68.8
ATI Radeon IGP 345M;GPU;2002-10-05;1800;;730;300;1830;Unknown;ATI;;;
AMD Radeon HD 7970 X2;GPU;2012-08-31;280;5000;3520;43130;9250;TSMC;AMD;;3789.0;947.2
NVIDIA GeForce GT 1030 DDR4;GPU;2018-03-12;140;200;740;18000;11520;Samsung;NVIDIA;16.55;1059.0;33.1
Intel UHD Graphics 630;GPU;2017-09-01;140;150;;;3500;Intel;Intel;772.8;386.4;96.6
NVIDIA PG506-232;GPU;2021-04-12;70;1650;8260;542000;9300;TSMC;NVIDIA;10320.0;10320.0;5161.0
NVIDIA Quadro K600;GPU;2013-03-01;280;410;1180;12700;8760;TSMC;NVIDIA;;336.4;14.02
NVIDIA GeForce GTX 1660 Ti Mobile;GPU;2019-04-23;120;;2840;66000;14550;TSMC;NVIDIA;9769.0;4884.0;152.6
ATI Mobility Radeon X1350;GPU;2006-09-18;800;;1000;1070;3710;UMC;ATI;;;
NVIDIA GeForce FX 5200 PCI;GPU;2003-03-06;1500;;910;450;2500;TSMC;NVIDIA;;;
ATI Radeon X1300 XT AGP;GPU;2006-08-12;900;220;1500;1570;5000;TSMC;ATI;;;
AMD Radeon R5 230;GPU;2014-04-03;400;190;670;3700;6250;TSMC;AMD;;200.0;
NVIDIA Quadro T600 Mobile;GPU;NaT;120;180;2000;47000;7350;TSMC;NVIDIA;4785.0;2392.0;74.76
AMD Radeon HD 7970;GPU;2011-12-22;280;2500;3520;43130;9250;TSMC;AMD;;3789.0;947.2
AMD Radeon RX 6700M;GPU;NaT;70;1800;3350;172000;14890;TSMC;AMD;20740.0;10370.0;648.0
ATI Radeon X1300 XT;GPU;2006-08-12;900;220;1500;1570;5000;TSMC;ATI;;;
ATI Radeon X1300 PRO AGP;GPU;2005-10-01;900;310;1000;1070;6000;TSMC;ATI;;;
AMD Radeon E9171 MCM;GPU;2017-10-03;140;400;1030;22000;11240;GF;AMD;1248.0;1248.0;78.02
NVIDIA GeForce Go 7300;GPU;2006-02-01;900;;810;1120;3500;TSMC;NVIDIA;;;
NVIDIA Quadro FX 2700M;GPU;2008-08-14;650;650;2400;5050;5300;TSMC;NVIDIA;;127.2;
Intel GMA 950;GPU;2006-01-01;900;70;;;2500;Intel;Intel;;;
NVIDIA GeForce FX Go5300;GPU;2003-03-01;1500;;1240;450;2750;TSMC;NVIDIA;;;
AMD Radeon E8860;GPU;2014-01-25;280;370;1230;15000;5750;TSMC;AMD;;800.0;50.0
AMD Radeon Pro Vega 16;GPU;2018-11-14;140;750;;;8150;GF;AMD;4874.0;2437.0;152.3
NVIDIA GeForce 6800 XT;GPU;2005-09-30;1100;;2870;2220;3000;TSMC;NVIDIA;;;
NVIDIA GeForce 7300 GS Low Profile;GPU;2006-01-18;900;230;810;1120;4500;TSMC;NVIDIA;;;
ATI Radeon HD 4570 Rebrand;GPU;2009-11-22;550;650;1350;3780;7960;TSMC;ATI;;191.0;
Intel Xeon Phi 5110P;GPU;2012-11-12;220;2250;3500;50000;10530;Intel;Intel;;505.4;
NVIDIA GeForce 9800S;GPU;2008-07-15;650;750;2400;5050;6000;TSMC;NVIDIA;;192.0;
NVIDIA GeForce 7025 + nForce 630a;GPU;2006-02-01;900;;810;1120;4250;Unknown;NVIDIA;;;
AMD Radeon R9 M485X;GPU;2016-05-15;280;2500;3660;50000;7230;TSMC;AMD;2961.0;2961.0;185.1
NVIDIA GeForce GTX 480M;GPU;2010-05-25;400;1000;5290;31000;4250;TSMC;NVIDIA;;598.4;74.8
NVIDIA GeForce GTX 285 Mac Edition;GPU;2009-01-15;550;2040;4700;14000;6480;TSMC;NVIDIA;;708.5;88.56
ATI Radeon X1600 XT Dual;GPU;NaT;900;;1500;1570;5900;TSMC;ATI;;;
ATI Radeon SDR PCI;GPU;2000-06-01;1800;230;1150;300;1660;TSMC;ATI;;;
NVIDIA GeForce 9500 GS Rev. 2;GPU;2008-07-29;550;400;1210;3140;5000;TSMC;NVIDIA;;80.0;
AMD Radeon RX Vega 11;GPU;2019-07-07;140;150;2100;49400;3000;GF;AMD;3942.0;1971.0;123.2
ATI Mobility Radeon HD 5165;GPU;2010-01-07;550;350;1460;5140;6000;TSMC;ATI;;384.0;
ATI Radeon X800 GTO AGP;GPU;2007-11-08;1300;490;2810;1600;4000;TSMC;ATI;;;
AMD Radeon R5 235X OEM;GPU;2013-12-21;400;180;670;3700;8750;TSMC;AMD;;280.0;
NVIDIA Quadro Plex 2100 D4;GPU;2008-07-25;650;6400;3240;7540;5000;TSMC;NVIDIA;;320.0;
AMD Radeon Pro Duo Polaris;GPU;2017-04-24;140;2500;2320;57000;12430;GF;AMD;5728.0;5728.0;358.0
AMD Radeon RX 550X;GPU;2018-12-16;140;500;1030;22000;11000;GF;AMD;1211.0;1211.0;75.71
NVIDIA GeForce GTX 1080 Max-Q;GPU;2017-06-27;160;1500;3140;72000;12900;TSMC;NVIDIA;117.4;7516.0;234.9
AMD Radeon RX 560 Mobile;GPU;2017-01-05;140;550;1230;30000;10000;GF;AMD;1887.0;1887.0;117.9
NVIDIA Quadro M5500 Mobile;GPU;2016-04-08;280;1500;3980;52000;11400;TSMC;NVIDIA;;4772.0;149.1
ATI Radeon X600 SE;GPU;2004-09-01;1100;360;740;1070;3250;TSMC;ATI;;;
3dfx Voodoo4 4000 AGP;GPU;NaT;2500;150;1120;140;1660;TSMC;Other;;;
AMD FirePro W4000;GPU;2012-08-07;280;750;2120;28000;8250;TSMC;AMD;;1267.0;79.2
NVIDIA GeForce GTX 580;GPU;2010-11-09;400;2440;5200;30000;7720;TSMC;NVIDIA;;1581.0;197.6
NVIDIA GeForce RTX 2060 Max-Q Refresh;GPU;2019-01-29;120;1150;4450;108000;9600;TSMC;NVIDIA;9216.0;4608.0;144.0
ATI Mobility Radeon HD 5650;GPU;2010-01-07;400;150;1040;6270;4500;TSMC;ATI;;360.0;
Intel GMA X4500;GPU;2008-06-01;650;130;;;5330;Intel;Intel;;85.28;
AMD Radeon E9550 MXM;GPU;2016-09-27;140;950;2320;57000;11200;GF;AMD;5834.0;5834.0;364.6
Intel HD Graphics 2000;GPU;2011-02-01;320;;1310;5040;6500;Intel;Intel;;96.0;
ATI Radeon HD 4700;GPU;2010-02-11;550;500;1460;5140;6000;TSMC;ATI;;384.0;
AMD Radeon HD 8670A;GPU;2013-02-02;280;450;770;9500;6000;TSMC;AMD;;460.8;28.8
ATI Xbox 360 GPU 65nm;GPU;2008-08-01;650;1500;1810;2320;5000;TSMC;ATI;;240.0;
AMD Radeon R9 285X;GPU;NaT;280;2000;3660;50000;10020;TSMC;AMD;;4104.0;
NVIDIA GeForce GTX 1080 11Gbps;GPU;2017-04-20;160;1800;3140;72000;16070;TSMC;NVIDIA;138.6;8873.0;277.3
NVIDIA Quadro P3000 Mobile;GPU;2017-01-11;160;750;3140;72000;10880;TSMC;NVIDIA;48.6;3110.0;97.2
NVIDIA GeForce GT 730;GPU;2014-06-18;280;380;870;10200;9020;TSMC;NVIDIA;;692.7;28.86
AMD Radeon R7 A265;GPU;2014-01-09;280;;770;9500;7250;TSMC;AMD;;633.6;39.6
NVIDIA GeForce FX Go5200 64M;GPU;2003-03-01;1500;;910;450;2500;TSMC;NVIDIA;;;
NVIDIA GeForce 7600 GS AGP;GPU;2006-07-01;900;270;1250;1770;4000;TSMC;NVIDIA;;;
NVIDIA GeForce RTX 3070 Mobile;GPU;2021-01-12;80;1150;3920;174000;11100;Samsung;NVIDIA;15970.0;15970.0;249.6
ATI FireMV 2260;GPU;2008-01-01;550;150;670;1810;5000;TSMC;ATI;;40.0;
NVIDIA GeForce 6100 + nForce 420;GPU;2004-10-11;900;;;;4250;Unknown;NVIDIA;;;
NVIDIA GeForce 6100 + nForce 430;GPU;2004-10-11;900;;;;4250;Unknown;NVIDIA;;;
NVIDIA GeForce GTX 560 Ti OEM;GPU;2011-03-30;400;2100;5200;30000;7320;TSMC;NVIDIA;;1031.0;128.8
AMD Radeon R5 A255;GPU;2014-01-01;280;;1250;15500;9250;TSMC;AMD;;721.9;
ATI Radeon X1650 GT;GPU;2007-05-01;800;;2300;3300;4000;TSMC;ATI;;;
NVIDIA GRID M60-2Q;GPU;2015-08-30;280;2250;3980;52000;5570;TSMC;NVIDIA;;4825.0;150.8
NVIDIA TITAN X Pascal;GPU;2016-08-02;160;2500;4710;118000;14170;TSMC;NVIDIA;171.5;10970.0;342.9
AMD FirePro W8100;GPU;2014-06-23;280;2200;4380;62000;8240;TSMC;AMD;;4219.0;2109.0
ATI Mobility Radeon 9600 PRO Turbo;GPU;2004-02-13;1300;;920;760;3370;TSMC;ATI;;;
NVIDIA Quadro FX 5600;GPU;2007-03-05;900;1710;4840;6810;6000;TSMC;NVIDIA;;345.6;
NVIDIA P106-090;GPU;2017-07-31;160;750;2000;44000;13540;TSMC;NVIDIA;36.74;2352.0;73.49
NVIDIA Quadro FX Go1400;GPU;2005-02-25;1300;;2250;2220;2750;TSMC;NVIDIA;;;
NVIDIA GeForce Go 7300T;GPU;2006-02-01;900;;810;1120;3500;TSMC;NVIDIA;;;
AMD Radeon R7 Graphics;GPU;2014-02-17;280;900;2450;24100;7200;GF;AMD;;553.0;34.56
NVIDIA GeForce GT 325M;GPU;2010-01-10;400;230;1000;4860;4500;TSMC;NVIDIA;;95.04;
NVIDIA RTX A5000;GPU;2021-04-12;80;2300;6280;283000;11700;Samsung;NVIDIA;27770.0;27770.0;867.8
ATI Radeon Xpress 1200 IGP;GPU;2007-02-28;800;;730;1200;4000;Unknown;ATI;;;
NVIDIA GeForce 7900 GT;GPU;2006-03-09;900;480;1960;2780;4500;TSMC;NVIDIA;;;
AMD Radeon R8 M535DX;GPU;2017-04-18;280;;1250;15500;7800;TSMC;AMD;570.2;570.2;35.64
NVIDIA Quadro K2200;GPU;2014-07-22;280;680;1480;18700;10460;TSMC;NVIDIA;;1439.0;44.96
NVIDIA GeForce GT 720M;GPU;2013-12-25;280;330;870;10200;7190;TSMC;NVIDIA;;291.1;12.13
AMD FirePro S7100X;GPU;2016-05-25;280;1000;3660;50000;7250;TSMC;AMD;2970.0;2970.0;185.6
NVIDIA Quadro 4000;GPU;2010-11-02;400;1420;5290;31000;4750;TSMC;NVIDIA;;486.4;243.2
AMD Radeon HD 8860 OEM;GPU;2013-01-08;280;1750;2120;28000;9250;TSMC;AMD;;2368.0;148.0
NVIDIA GeForce 8800 GTS 640;GPU;2006-11-08;900;1430;4840;6810;5130;TSMC;NVIDIA;;228.1;
NVIDIA Tesla K20m;GPU;2013-01-05;280;2250;5610;70800;7060;TSMC;NVIDIA;;3524.0;1175.0
AMD Radeon HD 6250 IGP;GPU;2012-10-09;400;70;750;4500;2760;TSMC;AMD;;44.16;
NVIDIA Quadro NVS 135M;GPU;2007-05-09;800;100;1270;2100;4000;TSMC;NVIDIA;;25.6;
Intel Xeon Phi 7120P;GPU;2013-06-17;220;3000;3500;50000;12380;Intel;Intel;;650.5;
NVIDIA GeForce RTX 2080 SUPER Mobile;GPU;2020-04-02;120;1500;5450;136000;13650;TSMC;NVIDIA;19170.0;9585.0;299.5
NVIDIA Jetson TX1 GPU;GPU;2015-01-04;200;150;1180;20000;10000;TSMC;NVIDIA;1024.0;512.0;16.0
AMD Radeon R7 M260X;GPU;2015-12-06;280;;770;9500;6200;TSMC;AMD;;549.1;
NVIDIA GeForce GT 1030;GPU;2017-05-17;140;300;740;18000;12280;Samsung;NVIDIA;17.62;1127.0;35.23
